"","Ensembl","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSMUSG00000023067",142.412172026429,3.37844346829988,0.252781697652324,13.3650636089429,9.67522664320511e-41,1.34640453966842e-36
"2","ENSMUSG00000038508",98.3926868909427,3.10285347415275,0.298890181312536,10.3812492619429,3.01799781880558e-25,2.09992288232492e-21
"3","ENSMUSG00000034457",69.7730759991529,2.97256943623602,0.333849562631293,8.9039189172728,5.39088365401971e-19,2.50065123097794e-15
"4","ENSMUSG00000061100",377.835223562466,-1.45754201013229,0.164955240811731,-8.83598485843704,9.92202186045741e-19,3.45187140525313e-15
"5","ENSMUSG00000035896",479.975867820099,-1.23717109743681,0.145938299092496,-8.47735724706976,2.30366752300848e-17,6.4115674500372e-14
"6","ENSMUSG00000020326",1558.48889025485,1.03602071676269,0.125617320606236,8.24743524032192,1.61830144938165e-16,3.7533804949325e-13
"7","ENSMUSG00000023078",52.1242818044674,2.85526117516974,0.353692957406661,8.07271141643592,6.87539786060382e-16,1.36682909468804e-12
"8","ENSMUSG00000030717",1687.8442957953,-0.925576418659203,0.12819483296976,-7.22007585810839,5.19585818077613e-13,9.03819530546008e-10
"9","ENSMUSG00000018654",89.9056007305577,2.10855248107658,0.301757507651305,6.98757256277816,2.79682931711751e-12,4.32451964188969e-09
"10","ENSMUSG00000038776",838.162032798155,0.89003989544106,0.133170343861729,6.68346922919406,2.33350875149571e-11,3.24731077858142e-08
"11","ENSMUSG00000027663",171.179544003134,1.34691403551977,0.205812895242416,6.54436173172389,5.97500153283607e-11,7.55892012099516e-08
"12","ENSMUSG00000028211",252.038794066688,1.46620496850404,0.226566102096481,6.47142248967004,9.70845570463025e-11,1.12585724654695e-07
"13","ENSMUSG00000025203",2671.76736532725,0.87752675489434,0.161994220047974,5.41702509283643,6.05988388287727e-08,6.2830380619901e-05
"14","ENSMUSG00000035778",145.282917217961,1.09130907832021,0.201740279998068,5.40947538255953,6.32096384506046e-08,6.2830380619901e-05
"15","ENSMUSG00000026395",269.163067222265,1.29591600823166,0.240292841976354,5.3930695461964,6.92641285965484e-08,6.42586409033045e-05
"16","ENSMUSG00000039936",73.8376208843431,1.44509318892689,0.274840890832576,5.25792644809611,1.45688762721022e-07,0.000119259107177984
"17","ENSMUSG00000041515",71.8643285380891,1.56982982730405,0.2983610894672,5.26150990434905,1.42877191180909e-07,0.000119259107177984
"18","ENSMUSG00000049538",133.432733592111,1.18077143901217,0.225300001107887,5.2408851895511,1.598081264202e-07,0.000123549438181305
"19","ENSMUSG00000029763",289.72876818982,0.853965483110767,0.164467060834501,5.19231923266441,2.07690487845604e-07,0.000152116885729443
"20","ENSMUSG00000041801",90.603256101826,1.27851721402513,0.249129323487366,5.13194190121085,2.86768025774555e-07,0.000199533192333935
"21","ENSMUSG00000024669",20.1836102787423,2.98766091991941,0.586102847803453,5.09750282073585,3.44163289194799e-07,0.000199557347184784
"22","ENSMUSG00000028581",247.895781052493,0.869186654904451,0.169965194990432,5.11390967399757,3.1555829459272e-07,0.000199557347184784
"23","ENSMUSG00000028972",143460.304452593,-0.795179580835286,0.155703233611448,-5.10702033857325,3.27278534002497e-07,0.000199557347184784
"24","ENSMUSG00000051506",58.5075150016832,1.48688154787726,0.291242780328628,5.10529924964842,3.30271442226103e-07,0.000199557347184784
"25","ENSMUSG00000005410",46.3205151375088,1.7361437281487,0.343868330059291,5.04886195204236,4.44449746428155e-07,0.000247398506851768
"26","ENSMUSG00000040918",43.2375552242481,1.65078820084587,0.334694082258629,4.93223002243061,8.12961006408993e-07,0.000435121744814906
"27","ENSMUSG00000032010",305.609092982517,-0.822239765009316,0.168344497188898,-4.88426873904104,1.03813405635282e-06,0.000527490973275332
"28","__no_feature",908151.872226164,-0.528622990983171,0.108326411813518,-4.87990862185287,1.06135004683165e-06,0.000527490973275332
"29","ENSMUSG00000032702",374.101881815014,0.714224727996326,0.147621386260285,4.83821989543583,1.31007156313909e-06,0.000607698529088121
"30","ENSMUSG00000037922",28.384744499633,2.32763570570307,0.480731992354815,4.8418572982867,1.28631129729455e-06,0.000607698529088121
"31","ENSMUSG00000031101",48.5506970583318,1.85890453459874,0.389092981496072,4.77753293686051,1.77458989535033e-06,0.000796619128506297
"32","ENSMUSG00000102813",14.0984780926021,3.56615024639617,0.747803053216388,4.76883616756811,1.85293269606783e-06,0.000805794106202497
"33","ENSMUSG00000028957",313.126223791962,-1.00506971752606,0.211686821397323,-4.74790877812657,2.05530692445234e-06,0.000866716701838752
"34","ENSMUSG00000037940",41.5370283798267,1.70143550977757,0.362605674187824,4.69224733889921,2.70220153544077e-06,0.00110599519315276
"35","ENSMUSG00000030707",191.204477447811,1.13539581125441,0.242663796565383,4.67888423128868,2.88440235722726e-06,0.00114683837723356
"36","ENSMUSG00000025150",372.811855034216,-0.708897099552029,0.152138983659468,-4.65953618527353,3.16922682400465e-06,0.00122508223563469
"37","ENSMUSG00000074934",14.3374566407961,3.23509351982657,0.697165726632806,4.64035077491766,3.47818267217796e-06,0.00130817270448726
"38","ENSMUSG00000025433",475.952633772262,0.682223692417899,0.148599069759603,4.59103609142082,4.4105105268107e-06,0.00161517538134468
"39","ENSMUSG00000053044",18.0267304302438,2.80395056923148,0.617644672371392,4.53974703362364,5.63217587702576e-06,0.00200967588473565
"40","ENSMUSG00000062585",18.2312265824431,2.54248868598722,0.56082078719131,4.53351363582734,5.80105193919226e-06,0.00201818596964499
"41","ENSMUSG00000070348",613.655350902467,0.739226676760328,0.166383940486452,4.44289680001009,8.87557431867252e-06,0.0029407736242535
"42","ENSMUSG00000076617",226.894034877408,1.09245936423966,0.245724796504587,4.44586537370178,8.75387589256906e-06,0.0029407736242535
"43","ENSMUSG00000026879",5160.4664232881,-0.51137104525735,0.115519236889548,-4.42671765349601,9.56778363487937e-06,0.00309640179216236
"44","ENSMUSG00000048458",14.8714622566186,3.00349609499608,0.683033479604339,4.39728971519217,1.09610994259818e-05,0.00338965910248807
"45","ENSMUSG00000055805",81.9488092206991,1.25020282150508,0.284006553385529,4.40202103297233,1.07247157132626e-05,0.00338965910248807
"46","ENSMUSG00000033220",130.670204249112,1.24209227518527,0.283688130300504,4.37837238332654,1.19568922534066e-05,0.00361721983909578
"47","ENSMUSG00000030641",12.441186110259,3.4051346132844,0.778750985534855,4.37255897781717,1.22798628671865e-05,0.00363588450339931
"48","ENSMUSG00000101554",894.42106580909,-0.793123987352689,0.18190971940464,-4.35998686572906,1.3007025087778e-05,0.00377095335669831
"49","ENSMUSG00000039001",1067.58166274463,-0.529461951130766,0.12179881106216,-4.34702068528857,1.37999209284744e-05,0.00391917754368673
"50","ENSMUSG00000030830",52.9012142129285,1.48194972016259,0.342807269830324,4.32298218440962,1.53934168412808e-05,0.00420028997575026
"51","ENSMUSG00000034116",36.927429198648,1.67975059648614,0.388413170986766,4.32464890986761,1.52774978369571e-05,0.00420028997575026
"52","ENSMUSG00000022389",1014.68482137801,-0.696066246179312,0.162127316290297,-4.29333108143832,1.76012236585063e-05,0.00471035823907257
"53","ENSMUSG00000018168",53.8350643620144,1.50006352264879,0.352627128530164,4.25396516967205,2.10017983154539e-05,0.0052949349454369
"54","ENSMUSG00000024608",2438.52500333946,-0.503719550953654,0.118716930148456,-4.24303046181999,2.20521488572941e-05,0.0052949349454369
"55","ENSMUSG00000030220",116.03739755805,1.02445358864276,0.240546223600391,4.25886373649599,2.05468667515512e-05,0.0052949349454369
