Ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001,463.839744046167,0.23970339780134411,0.15101665717148888,1.5872646255779974,0.11245272344236744,0.6346754248185105
ENSMUSG00000000003,0.0,,,,,
ENSMUSG00000000028,21.186929970253967,0.7519584903571555,0.4588368425310291,1.638836337137212,0.10124734924289625,0.6124899860365531
ENSMUSG00000000031,91.82366077597486,-0.9289208747335816,0.6091745933412623,-1.5248844664360388,0.12728791695875669,0.6546371481365246
ENSMUSG00000000037,1.3346893902595032,-0.639686027458608,1.91202178557004,-0.334560009873473,0.7379570155530396,
ENSMUSG00000000049,0.867514164511209,0.7226026847744261,2.238889902636012,0.32275043266917774,0.7468842545703187,
ENSMUSG00000000056,146.08080838379914,-0.11311212479332501,0.1951837969223977,-0.5795159566359741,0.5622410830375834,0.9245205444673378
ENSMUSG00000000058,134.60903449667876,0.15949080357690942,0.2422869301527504,0.6582724188892816,0.5103630975596645,0.9060408140931655
ENSMUSG00000000078,279.561750006714,0.0370618349038526,0.1628888360853851,0.2275283917212415,0.8200128946954222,0.9765467446975944
ENSMUSG00000000085,167.80662030967235,0.3904746806038807,0.20521385404422274,1.9027695884495939,0.057070617110786634,0.5041034774676773
ENSMUSG00000000088,439.4590570256667,0.07549499030135208,0.15469900331700173,0.48801213118775816,0.6255412483686746,0.9389213369336485
ENSMUSG00000000093,47.24829026730978,-0.1781915451799876,0.31558828311616455,-0.5646329560162956,0.5723234445310413,0.9264352738834432
ENSMUSG00000000094,0.1733247721964675,-0.7924339179736393,4.429545690206999,-0.17889733471438868,0.8580183156164847,
ENSMUSG00000000103,0.0,,,,,
ENSMUSG00000000120,17.98399790543091,1.4625270523280984,0.5386819896995466,2.715010117831919,0.006627374566809631,0.19326555211255556
ENSMUSG00000000125,0.39657243916208956,2.2623006465623887,3.92019303137441,0.5770890944544207,0.5638792709804998,
ENSMUSG00000000126,7.784108772588804,0.4397587216997713,0.7478945061127176,0.5879956572825712,0.5565352077324598,0.922618121444701
ENSMUSG00000000127,110.58706472114697,0.051823608384939525,0.2528521356919328,0.20495618216996117,0.8376063597833662,0.9800087512028062
ENSMUSG00000000131,266.6974969313372,0.07052471777530285,0.1755617672705677,0.40170886219556795,0.687898301623043,0.9534670729564555
ENSMUSG00000000134,172.3381000374011,-0.1289892212834342,0.1971131943276999,-0.6543916135263383,0.5128595360998507,0.9080953959352728
ENSMUSG00000000142,23.77992017224378,0.01463094681258867,0.4912737930154485,0.029781655403972644,0.9762411891442547,0.997001260397185
ENSMUSG00000000148,61.85207379116821,-0.36783490834872884,0.28474663016672014,-1.2917972308692827,0.19642737459869308,0.749066251652586
ENSMUSG00000000149,161.03920994678865,0.17329084067317335,0.18430175038509788,0.9402560763046619,0.34708622404379597,0.8487654284562725
ENSMUSG00000000154,34.33875273040527,-0.42570115022270516,0.38462206450617537,-1.1068037679254623,0.2683787788206504,0.8137139066333677
ENSMUSG00000000157,12.660700976259406,-0.21447718933234783,0.5855674043427934,-0.3662724184128119,0.7141618086603397,0.9591306559822751
ENSMUSG00000000159,153.8425044067151,-0.06426736229369784,0.18930068445855622,-0.3394988374052496,0.7342339727507283,0.963008169237667
ENSMUSG00000000167,6.555751667651664,-0.24353498309031563,0.8163415150964106,-0.2983248782362293,0.7654552181943527,0.9683994838280928
ENSMUSG00000000168,304.6400863990079,0.17052928348171068,0.1509936826488097,1.1293802528039407,0.2587374594858256,0.8081728960445703
ENSMUSG00000000171,420.7131328022693,-0.10071076615885108,0.14531325978825427,-0.6930597132402336,0.4882720786349126,0.8997719136701154
ENSMUSG00000000182,0.1732313426164638,1.1311402341444858,4.4295453114643095,0.2553626060031331,0.7984430496264243,
ENSMUSG00000000183,0.23402532157282205,1.1311402341444858,4.4295453114643095,0.25536260600313304,0.7984430496264243,
ENSMUSG00000000184,208.6055886329348,0.6487336745415131,0.19173218486974908,3.383540822748264,0.0007155756864115523,0.05283999178331725
ENSMUSG00000000194,225.36624030392932,0.009240684424008142,0.16968464710452003,0.054457987694762934,0.9565702798534051,0.9944635415241996
ENSMUSG00000000197,2.8936548520357808,0.1228670139744624,1.2088254602992958,0.10164164969195923,0.9190411189501038,
ENSMUSG00000000202,0.0,,,,,
ENSMUSG00000000204,0.346649544392935,-1.8229641536713352,4.1218762053557265,-0.44226562440247025,0.6582970030965556,
ENSMUSG00000000214,0.0,,,,,
ENSMUSG00000000215,0.0,,,,,
ENSMUSG00000000216,35.05744848588794,0.3751689736483453,0.3544151117576521,1.0585580614431718,0.28980109515181807,0.8231685111019413
ENSMUSG00000000223,13.100353102343997,-0.2774431503185337,0.6324356291678522,-0.43868994332844374,0.6608862150055476,0.9477259414096664
ENSMUSG00000000244,15.637775099389765,0.8347484018192772,0.6048932376120885,1.3799929473746118,0.16758881631978706,0.7128157660965043
ENSMUSG00000000247,1.2047788507616193,0.544659012430304,1.9542479455414168,0.2787051733496429,0.7804710920137925,
ENSMUSG00000000248,2.3234963378118962,1.2703969761304474,1.4663264506319054,0.8663807268722301,0.38628140956382395,
ENSMUSG00000000253,21.975360220339827,-0.16720801158641327,0.4520078456884657,-0.36992280815775247,0.7114400066023985,0.9586820159488896
ENSMUSG00000000263,0.0,,,,,
ENSMUSG00000000266,81.31058312981457,-0.023694814980380254,0.28985951605058224,-0.08174585848768672,0.9348488105629177,0.9921710888767179
ENSMUSG00000000275,146.31292638971536,0.0676482229637525,0.1994237465801956,0.33921849390462966,0.7344451382392141,0.963008169237667
ENSMUSG00000000276,28.709179707281503,0.6028224587679316,0.4105190157510939,1.4684397936231905,0.1419847990003898,0.6817369536284132
ENSMUSG00000000278,89.09443340018056,0.024909264972482647,0.25925159891015626,0.09608143238921725,0.9234558978802531,0.9917549475495572
ENSMUSG00000000282,90.0909192336435,-0.20874262673427257,0.26237301159934,-0.7955948878348647,0.4262675389191779,0.8812840172103074
ENSMUSG00000000290,74.51671216764453,0.9005349627777165,0.28167397416965667,3.197082603859276,0.0013882516505788337,0.07960089587228056
ENSMUSG00000000295,54.462161595928706,-0.21327547000793462,0.30440312799462166,-0.7006349488356862,0.4835308620386801,0.8974428884425519
ENSMUSG00000000296,276.8762039963528,0.03924118761666812,0.15770903957435273,0.24882015465047366,0.8034999001583836,0.9734634677247966
ENSMUSG00000000301,6.548391006863287,0.1848409245536058,0.8496090459671027,0.21755997706357158,0.8277719711621316,0.9786552003039658
ENSMUSG00000000303,703.5224632094655,-0.022864310575561615,0.13999304147209388,-0.16332462196072345,0.870262848662575,0.9870283322296763
ENSMUSG00000000305,0.9390044281888842,-0.08279688478856931,2.127492185069298,-0.038917597615463116,0.9689560863288647,
ENSMUSG00000000308,1002.7757733148264,0.1454666971056485,0.15466895512587794,0.9405035224247804,0.34695934370534753,0.8487654284562725
ENSMUSG00000000317,17.007920534938417,-0.4537209850032395,0.6090876904191234,-0.7449189864451645,0.4563206964925628,0.889907411785156
ENSMUSG00000000318,86.26427972421732,-0.4824476317208206,0.2630807036589539,-1.833838913348218,0.0666779095074505,0.5310336631177185
