Ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000486,41.315503222573135,1.3630017534030876,0.39169794424380844,3.4797265940070927,0.0005019257174884529,0.04295361823326649
ENSMUSG00000005410,46.320235139454745,1.7353359180484285,0.34548583241067393,5.022885905161113,5.09007852800006e-07,0.00028052440783513934
ENSMUSG00000007877,48.6121261965275,-1.2788549536929343,0.3339377959843116,-3.8296202738099607,0.00012834114507654236,0.016443139670697996
ENSMUSG00000008193,29.35644753598714,1.8427701482601329,0.49297223836524867,3.738080980728176,0.00018543022474496072,0.021721550691749164
ENSMUSG00000018168,53.84506023731944,1.4996089337275667,0.3545347266655048,4.229794208967328,2.339051877088201e-05,0.005371242793753539
ENSMUSG00000018654,89.91761865048166,2.107840843787546,0.303061205854942,6.955165501441476,3.52148380113719e-12,5.391000423563133e-09
ENSMUSG00000020143,90.83202664832446,1.1393801399005286,0.29364125985264955,3.880177262801128,0.00010438036441022773,0.014839278722453142
ENSMUSG00000020279,7.350489387589962,3.4838815182968705,0.9991327630559143,3.4869054915596864,0.0004886440017371028,0.04234300035178492
ENSMUSG00000020326,1558.7723725758804,1.0352910894847935,0.12561244658145404,8.241946699234568,1.6943104745366518e-16,3.890701619694332e-13
ENSMUSG00000020589,43.730910019381895,1.4404024730158977,0.36776201884983867,3.916670018075004,8.978050541450206e-05,0.013445606560880539
ENSMUSG00000021668,39.52066033452013,1.3143493043259935,0.3593524063327806,3.657549751062003,0.00025463784467491936,0.026578789575235143
ENSMUSG00000022037,382.0117605643836,1.109549884106946,0.22995393851778334,4.8250962399634645,1.3993567928341899e-06,0.0006517868433891411
ENSMUSG00000023067,142.39227392627174,3.3775627105743777,0.2532447745490011,13.33714670555164,1.4074411054186503e-40,1.9391723550458164e-36
ENSMUSG00000023078,52.12358430940043,2.8544394131820443,0.35521395542734807,8.035831277371823,9.294657246172718e-16,1.829454107682396e-12
ENSMUSG00000024065,64.09947323760481,1.104461192751121,0.28959043923921834,3.813873122512766,0.0001368057222495673,0.01705341932148825
ENSMUSG00000024669,20.179969180667612,2.9874332797889713,0.5890006097086943,5.072037669479638,3.935784533135383e-07,0.0002259468304064138
ENSMUSG00000024677,58.13566297916956,1.3312640583845492,0.38202752941343926,3.4847333134042904,0.0004926277696674126,0.04242140881548507
ENSMUSG00000026170,83.54865848720685,-1.1136425952698217,0.2875119600942265,-3.873378328000152,0.00010733700551820417,0.014839278722453142
ENSMUSG00000026395,269.2036778365278,1.2952544056638338,0.2407034031089418,5.381122115160144,7.402295644851044e-08,6.799255292983845e-05
ENSMUSG00000026832,58.75102732444464,1.3339886766844333,0.3775119984195767,3.533632526301332,0.00040989053771831545,0.03921855436585382
ENSMUSG00000027663,171.1788531919816,1.345987672406959,0.20619700321175113,6.527678149738751,6.679703696672774e-11,8.366632502977953e-08
ENSMUSG00000027962,70.46185469505747,1.147381470591726,0.29855756455824933,3.843082898567351,0.00012149840615746993,0.015942905143215433
ENSMUSG00000028211,252.06806764501684,1.4653137298790508,0.22701131413478345,6.454804842938577,1.0835844908254182e-10,1.244135592882718e-07
ENSMUSG00000028957,313.2557722028346,-1.0055241925742888,0.21223239979658065,-4.7378448980365775,2.160030299217717e-06,0.0008753205136065208
ENSMUSG00000030156,8.604103383767317,4.126605021683092,1.0451177417842235,3.948459447868676,7.865573657522246e-05,0.012041319317037946
ENSMUSG00000030220,116.04517806671375,1.023708529880202,0.24145282988712086,4.239786836869071,2.2373214149261574e-05,0.005314795595664241
ENSMUSG00000030609,190.98847012624833,1.006879916142027,0.2430654022648804,4.142423836382852,3.43654509804459e-05,0.0066688335719518824
ENSMUSG00000030641,12.438322534324257,3.404178797379934,0.7819193746328363,4.35361868220547,1.3390854667658467e-05,0.0036176312864901645
ENSMUSG00000030707,191.22715725050168,1.1347184802768628,0.2432232685405592,4.665336861418094,3.0811186243823454e-06,0.0011694461551432804
ENSMUSG00000030748,100.51751688741645,1.0760863951958781,0.26023775173531816,4.135012649088441,3.549350850311907e-05,0.006699035070629788
ENSMUSG00000030798,57.81161808751859,1.071712815932043,0.3124504709057664,3.4300246462271033,0.0006035264270026402,0.048627994802587005
ENSMUSG00000030830,52.90700848880561,1.481342474589848,0.3445960754803145,4.298779295513108,1.7174138441045088e-05,0.004381949619272578
ENSMUSG00000031101,48.549057882194774,1.858415224050144,0.3909406633589146,4.753701515935607,1.997258380674289e-06,0.0008599445615290736
ENSMUSG00000031779,29.088286322372994,1.9412054158675753,0.4602838820873221,4.2174090629993035,2.4712542914901922e-05,0.005513953512967442
ENSMUSG00000032035,285.4005694043508,1.020450966774864,0.24122586330989484,4.230271799106071,2.3340911997049508e-05,0.005371242793753539
ENSMUSG00000033031,29.474829917888467,1.7606840680277571,0.4256556778288764,4.13640451598908,3.527900550717176e-05,0.006699035070629788
ENSMUSG00000033220,130.6834741120567,1.2412873319925457,0.28460587135677134,4.361425595596775,1.292177390143453e-05,0.0036176312864901645
ENSMUSG00000033826,17.157265700904436,1.9467473099022692,0.5652404402346303,3.4441047938717513,0.0005729535837575725,0.04727038608989122
ENSMUSG00000034116,36.92567958654582,1.6791812121596488,0.39045616084956025,4.3005627277235465,1.7036493726294526e-05,0.004381949619272578
ENSMUSG00000034457,69.76627311336917,2.9714530106351766,0.33509810917967797,8.867412048099316,7.486546619235327e-19,3.293946771973426e-15
ENSMUSG00000034786,25.642208135525134,1.6177932029669104,0.45582900188510456,3.5491230182292974,0.0003865164636328547,0.03803874168523909
